2016-06-08 20:27:54 status unpacked redis-server:amd64 2:2.8.17-1+deb8u3
2016-06-08 20:27:54 status unpacked redis-server:amd64 2:2.8.17-1+deb8u3
2016-06-08 20:27:54 status half-configured redis-server:amd64 2:2.8.17-1+deb8u3
2016-06-08 20:27:54 status installed redis-server:amd64 2:2.8.17-1+deb8u3
2016-06-08 20:27:54 trigproc libc-bin:amd64 2.19-18+deb8u4 <ninguna>
2016-06-08 20:27:54 status half-configured libc-bin:amd64 2.19-18+deb8u4
2016-06-08 20:27:54 status installed libc-bin:amd64 2.19-18+deb8u4
2016-06-08 20:27:54 trigproc systemd:amd64 215-17+deb8u4 <ninguna>
2016-06-08 20:27:54 status half-configured systemd:amd64 215-17+deb8u4
2016-06-08 20:27:54 status installed systemd:amd64 215-17+deb8u4
2016-06-08 20:27:54 startup packages configure
2016-06-08 20:30:14 startup archives unpack
2016-06-08 20:30:14 upgrade base-files:amd64 8+deb8u4 8+deb8u5
2016-06-08 20:30:14 status half-configured base-files:amd64 8+deb8u4
2016-06-08 20:30:14 status unpacked base-files:amd64 8+deb8u4
2016-06-08 20:30:14 status half-installed base-files:amd64 8+deb8u4
2016-06-08 20:30:14 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:14 status triggers-pending install-info:amd64 5.2.0.dfsg.1-6
2016-06-08 20:30:15 status half-installed base-files:amd64 8+deb8u4
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 20:30:15 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 20:30:15 status installed man-db:amd64 2.7.0.2-5
2016-06-08 20:30:15 trigproc install-info:amd64 5.2.0.dfsg.1-6 <ninguna>
2016-06-08 20:30:15 status half-configured install-info:amd64 5.2.0.dfsg.1-6
2016-06-08 20:30:15 status installed install-info:amd64 5.2.0.dfsg.1-6
2016-06-08 20:30:15 startup packages configure
2016-06-08 20:30:15 configure base-files:amd64 8+deb8u5 <ninguna>
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status unpacked base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status half-configured base-files:amd64 8+deb8u5
2016-06-08 20:30:15 status installed base-files:amd64 8+deb8u5
2016-06-08 20:30:15 startup archives unpack
2016-06-08 20:30:15 upgrade dpkg:amd64 1.17.26 1.17.27
2016-06-08 20:30:15 status half-configured dpkg:amd64 1.17.26
2016-06-08 20:30:15 status unpacked dpkg:amd64 1.17.26
2016-06-08 20:30:15 status half-installed dpkg:amd64 1.17.26
2016-06-08 20:30:15 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:16 status half-installed dpkg:amd64 1.17.26
2016-06-08 20:30:16 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:16 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:16 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 20:30:16 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 20:30:17 status installed man-db:amd64 2.7.0.2-5
2016-06-08 20:30:17 startup packages configure
2016-06-08 20:30:17 configure dpkg:amd64 1.17.27 <ninguna>
2016-06-08 20:30:17 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:17 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:17 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:17 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:17 status unpacked dpkg:amd64 1.17.27
2016-06-08 20:30:17 status half-configured dpkg:amd64 1.17.27
2016-06-08 20:30:17 status installed dpkg:amd64 1.17.27
2016-06-08 20:30:17 startup archives unpack
2016-06-08 20:30:17 upgrade perl:amd64 5.20.2-3+deb8u4 5.20.2-3+deb8u5
2016-06-08 20:30:17 status half-configured perl:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:17 status unpacked perl:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:17 status half-installed perl:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:17 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:19 status half-installed perl:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status unpacked perl:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:19 status unpacked perl:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:19 upgrade libperl5.20:amd64 5.20.2-3+deb8u4 5.20.2-3+deb8u5
2016-06-08 20:30:19 status half-configured libperl5.20:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status unpacked libperl5.20:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status half-installed libperl5.20:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status half-installed libperl5.20:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status unpacked libperl5.20:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:19 status unpacked libperl5.20:amd64 5.20.2-3+deb8u5
2016-06-08 20:30:19 upgrade perl-base:amd64 5.20.2-3+deb8u4 5.20.2-3+deb8u5
2016-06-08 20:30:19 status half-configured perl-base:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:19 status half-installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:20 status half-installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-08 20:30:20 status unpacked perl-base:amd64 5.20.2-3+deb8u5
